,match,profit
233,"b'\x99""\x00\x00\x00\x00\x00\x00'",-510.8449430460992
234,b'\xb5\x13\x00\x00\x00\x00\x00\x00',-510.7851224093259
235,b'i!\x00\x00\x00\x00\x00\x00',-510.6958495610299
236,b'\x10%\x00\x00\x00\x00\x00\x00',-510.5842147577869
237,b';C\x00\x00\x00\x00\x00\x00',-510.5438458568914
238,b'\x05+\x00\x00\x00\x00\x00\x00',-510.4450421574687
239,b'{\x14\x00\x00\x00\x00\x00\x00',-510.3587313312376
240,b'\xbc\x1f\x00\x00\x00\x00\x00\x00',-510.28119852203685
241,b'\xb1\x18\x00\x00\x00\x00\x00\x00',-510.07849470097125
242,b'\xa9\x1a\x00\x00\x00\x00\x00\x00',-509.9922681693108
243,b'\t\x17\x00\x00\x00\x00\x00\x00',-509.88451788614077
244,b'\xc5*\x00\x00\x00\x00\x00\x00',-509.8211112549826
245,b'\xc0\x1a\x00\x00\x00\x00\x00\x00',-509.8134608372311
246,b'\xf7\x05\x00\x00\x00\x00\x00\x00',-509.7460840235904
247,b'm9\x00\x00\x00\x00\x00\x00',-509.6710448832308
248,b'^\x0c\x00\x00\x00\x00\x00\x00',-509.6104113214396
249,b'\xc3\t\x00\x00\x00\x00\x00\x00',-509.599549455718
250,b'\xff \x00\x00\x00\x00\x00\x00',-509.4577024554697
251,b'\x83\x1b\x00\x00\x00\x00\x00\x00',-509.4303293016183
252,b'\xcb0\x00\x00\x00\x00\x00\x00',-509.37975169565453
253,b'\xee\x1f\x00\x00\x00\x00\x00\x00',-509.3560173971626
254,b'\x16!\x00\x00\x00\x00\x00\x00',-509.2816061935952
255,b']\x01\x00\x00\x00\x00\x00\x00',-509.1933738564497
256,b'\x05 \x00\x00\x00\x00\x00\x00',-509.175622951641
257,b'7:\x00\x00\x00\x00\x00\x00',-509.16380646858875
258,b'U5\x00\x00\x00\x00\x00\x00',-509.14594033992637
259,b'\xbd3\x00\x00\x00\x00\x00\x00',-509.0912800539147
260,b'N\x0c\x00\x00\x00\x00\x00\x00',-508.9788485859365
261,b'\xe6\t\x00\x00\x00\x00\x00\x00',-508.95886992824904
262,b'y@\x00\x00\x00\x00\x00\x00',-508.8985202794461
263,b'|1\x00\x00\x00\x00\x00\x00',-508.8050143155846
264,b'u\x10\x00\x00\x00\x00\x00\x00',-508.7982430886444
265,b'R\x07\x00\x00\x00\x00\x00\x00',-508.72067021540227
266,b'\x7f&\x00\x00\x00\x00\x00\x00',-508.65368137319393
267,b'\xb4\x0c\x00\x00\x00\x00\x00\x00',-508.51375561124127
268,b'\xa38\x00\x00\x00\x00\x00\x00',-508.44145849199055
269,b'\x15\x15\x00\x00\x00\x00\x00\x00',-508.4085210934966
270,b'9@\x00\x00\x00\x00\x00\x00',-508.36926491174
271,b'\xfcA\x00\x00\x00\x00\x00\x00',-508.2588994043447
272,b'\xcc\x12\x00\x00\x00\x00\x00\x00',-508.2582658744507
273,b'\x88\x13\x00\x00\x00\x00\x00\x00',-508.2435863441266
274,b'\x9f\x0b\x00\x00\x00\x00\x00\x00',-508.114475862288
275,b'F\x05\x00\x00\x00\x00\x00\x00',-508.08628378535764
276,b'7@\x00\x00\x00\x00\x00\x00',-507.96616853017036
277,b'f&\x00\x00\x00\x00\x00\x00',-507.9559779709652
278,b'\x9d\x18\x00\x00\x00\x00\x00\x00',-507.8678633626274
279,b'j*\x00\x00\x00\x00\x00\x00',-507.852111242989
280,b'\xf65\x00\x00\x00\x00\x00\x00',-507.7646693460478
281,b'\x0f1\x00\x00\x00\x00\x00\x00',-507.73418332787264
282,b'1\x13\x00\x00\x00\x00\x00\x00',-507.6836162098399
283,b'\x81\x04\x00\x00\x00\x00\x00\x00',-507.6016037811388
284,b'[\x1a\x00\x00\x00\x00\x00\x00',-507.5265629321589
285,b'\n.\x00\x00\x00\x00\x00\x00',-507.39889052303636
286,b'$2\x00\x00\x00\x00\x00\x00',-507.34841665008236
287,"b'""\x0f\x00\x00\x00\x00\x00\x00'",-507.1845977323234
288,b'R$\x00\x00\x00\x00\x00\x00',-507.14695460196435
289,b'\x014\x00\x00\x00\x00\x00\x00',-507.1449909797401
290,b'\xff#\x00\x00\x00\x00\x00\x00',-507.05801497015057
291,b'TA\x00\x00\x00\x00\x00\x00',-507.02444181655267
292,b'\xdd?\x00\x00\x00\x00\x00\x00',-507.0130114239459
293,b'\xe93\x00\x00\x00\x00\x00\x00',-506.8873256796832
294,b'\xc4:\x00\x00\x00\x00\x00\x00',-506.771025410908
295,b'a\x1b\x00\x00\x00\x00\x00\x00',-506.56680215669587
296,b'\x8b\x0e\x00\x00\x00\x00\x00\x00',-506.5400552824222
297,b'\xcbC\x00\x00\x00\x00\x00\x00',-506.48386983457283
298,b'\xde\x16\x00\x00\x00\x00\x00\x00',-506.4768875292362
299,b'/\x14\x00\x00\x00\x00\x00\x00',-506.39660590887513
300,b'0*\x00\x00\x00\x00\x00\x00',-506.3965403500515
301,b'|\x1c\x00\x00\x00\x00\x00\x00',-506.2833528341117
302,b'\xf1@\x00\x00\x00\x00\x00\x00',-505.8001290482772
303,b'\x04\x06\x00\x00\x00\x00\x00\x00',-505.59267601968025
304,b'\xf8-\x00\x00\x00\x00\x00\x00',-505.2668803249001
305,b'n=\x00\x00\x00\x00\x00\x00',-505.2395704703197
306,b'\xcd6\x00\x00\x00\x00\x00\x00',-505.2063913081937
307,b'\xed\t\x00\x00\x00\x00\x00\x00',-505.00921639510295
308,b'\x96\n\x00\x00\x00\x00\x00\x00',-504.9745754653091
309,b'j\x01\x00\x00\x00\x00\x00\x00',-504.9525202849876
310,b'\x8aC\x00\x00\x00\x00\x00\x00',-504.8070943107663
311,b'HB\x00\x00\x00\x00\x00\x00',-504.7910338185775
312,b'q&\x00\x00\x00\x00\x00\x00',-504.57291728309536
313,b'\xa7>\x00\x00\x00\x00\x00\x00',-504.43493572009817
314,b'\xc3!\x00\x00\x00\x00\x00\x00',-504.43152156590276
315,b'\rC\x00\x00\x00\x00\x00\x00',-504.365284210546
316,b'-\n\x00\x00\x00\x00\x00\x00',-504.18654922267467
317,b'\x11\x10\x00\x00\x00\x00\x00\x00',-504.1654766304235
318,b'\xe4\r\x00\x00\x00\x00\x00\x00',-504.1249773945876
319,"b""'\x1e\x00\x00\x00\x00\x00\x00""",-504.1039598877923
320,b'\x18@\x00\x00\x00\x00\x00\x00',-503.9969749243961
321,b'\xbb\n\x00\x00\x00\x00\x00\x00',-503.98081637116013
322,b'\xa2$\x00\x00\x00\x00\x00\x00',-503.963620872774
323,b'\xc9\x02\x00\x00\x00\x00\x00\x00',-503.69686892341593
324,b'!\x01\x00\x00\x00\x00\x00\x00',-503.55073875298143
325,b'\xb6\x0f\x00\x00\x00\x00\x00\x00',-503.41271533498997
326,b'\xdf&\x00\x00\x00\x00\x00\x00',-503.350429753139
327,b'\x19\x15\x00\x00\x00\x00\x00\x00',-503.25429016328457
328,b'h\x14\x00\x00\x00\x00\x00\x00',-503.2477914908978
329,b'=/\x00\x00\x00\x00\x00\x00',-503.23819168006435
330,b'\x01#\x00\x00\x00\x00\x00\x00',-503.1292636164421
331,b'\xfe\x12\x00\x00\x00\x00\x00\x00',-503.0582744455073
332,b'\xdb\x0f\x00\x00\x00\x00\x00\x00',-503.0313448960647
333,b'\xfb\x07\x00\x00\x00\x00\x00\x00',-503.00129614426055
334,b'K\x02\x00\x00\x00\x00\x00\x00',-502.97538549238055
335,b'\xbf\x0b\x00\x00\x00\x00\x00\x00',-502.97175713703945
336,b'\xa1\x1d\x00\x00\x00\x00\x00\x00',-502.87126111589635
337,b'\x18#\x00\x00\x00\x00\x00\x00',-502.8149167783002
338,b'\x1d\x14\x00\x00\x00\x00\x00\x00',-502.4730917302437
339,b'\x9a\x1e\x00\x00\x00\x00\x00\x00',-502.39129764502974
340,b'a;\x00\x00\x00\x00\x00\x00',-502.29381539635483
341,"b'\t,\x00\x00\x00\x00\x00\x00'",-502.2691567427513
342,b'_\x18\x00\x00\x00\x00\x00\x00',-502.2282367993633
343,"b'\x83,\x00\x00\x00\x00\x00\x00'",-502.1680212388207
344,b'\xcd\x0e\x00\x00\x00\x00\x00\x00',-502.10683540522996
345,b'\xec?\x00\x00\x00\x00\x00\x00',-501.966772725255
346,b'V\x15\x00\x00\x00\x00\x00\x00',-501.7867843993113
347,b'\xdb:\x00\x00\x00\x00\x00\x00',-501.73380301193106
348,b'\x9f\x0c\x00\x00\x00\x00\x00\x00',-501.7318001366973
349,b'\xc6\x11\x00\x00\x00\x00\x00\x00',-501.7301810346315
350,b'[/\x00\x00\x00\x00\x00\x00',-501.635794997635
351,b'Y\x0b\x00\x00\x00\x00\x00\x00',-501.58694941710485
352,b'\x97\x15\x00\x00\x00\x00\x00\x00',-501.5584288447936
353,b'\xca#\x00\x00\x00\x00\x00\x00',-501.41487390016323
354,b'\xaf4\x00\x00\x00\x00\x00\x00',-501.4103288229611
355,b'\xb62\x00\x00\x00\x00\x00\x00',-501.18124085124157
356,b'\xb7\x1b\x00\x00\x00\x00\x00\x00',-501.16184690959915
357,b'\xaf6\x00\x00\x00\x00\x00\x00',-501.1609101387125
358,b'\xcc<\x00\x00\x00\x00\x00\x00',-501.0639547195418
359,b'o\x1f\x00\x00\x00\x00\x00\x00',-500.9789756658924
360,b'\xab\x08\x00\x00\x00\x00\x00\x00',-500.840805026797
361,b'\x96)\x00\x00\x00\x00\x00\x00',-500.80526295355355
362,b'Z\x1a\x00\x00\x00\x00\x00\x00',-500.47112832547157
363,b'\xfc\x0f\x00\x00\x00\x00\x00\x00',-500.40082046406957
364,b'\xcb\x1f\x00\x00\x00\x00\x00\x00',-500.009526970717
365,b'X;\x00\x00\x00\x00\x00\x00',-499.99271469069384
366,b'$1\x00\x00\x00\x00\x00\x00',-499.95941103488605
367,b'\xae\x17\x00\x00\x00\x00\x00\x00',-499.9223919211978
368,b'-\x1b\x00\x00\x00\x00\x00\x00',-499.76734826696816
369,b'\x18\r\x00\x00\x00\x00\x00\x00',-499.7151087847512
370,b'\x95 \x00\x00\x00\x00\x00\x00',-499.6882639474199
371,b'[+\x00\x00\x00\x00\x00\x00',-499.5117016895677
372,b'\x86\x17\x00\x00\x00\x00\x00\x00',-499.4103788997486
373,b'D\x18\x00\x00\x00\x00\x00\x00',-499.3610852958988
374,b'\xcc \x00\x00\x00\x00\x00\x00',-499.3562813897006
375,b'\x1c:\x00\x00\x00\x00\x00\x00',-499.20004046832815
376,b'~<\x00\x00\x00\x00\x00\x00',-499.07924852036564
377,b'Z2\x00\x00\x00\x00\x00\x00',-499.0444458732502
378,b'\xb4\x18\x00\x00\x00\x00\x00\x00',-499.0301964096547
379,b'S\x01\x00\x00\x00\x00\x00\x00',-498.9390689794
380,b'\x8a0\x00\x00\x00\x00\x00\x00',-498.92515214970297
381,b'\xf9\x03\x00\x00\x00\x00\x00\x00',-498.89589650626
382,b'x\x19\x00\x00\x00\x00\x00\x00',-498.8442791575888
383,b'z6\x00\x00\x00\x00\x00\x00',-498.73427787278695
